genome_id	genome_name	taxon_id	ciprofloxacin	amikacin	colistin	meropenem	ampicillin	tetracycline
106654.148	Acinetobacter nosocomialis strain 328	106654	Intermediate			Susceptible		Intermediate
106654.496	Acinetobacter nosocomialis MGL_55	106654	Susceptible				Resistant	
106654.506	Acinetobacter nosocomialis MGL_55	106654	Susceptible				Resistant	
1069623.3	Streptococcus pneumoniae GA05578	1069623				Resistant		Susceptible
1069624.3	Streptococcus pneumoniae GA04216	1069624				Resistant		Susceptible
1069625.3	Streptococcus pneumoniae England14-9	1069625						Susceptible
1069626.3	Streptococcus pneumoniae GA02506	1069626						Resistant
1069627.3	Streptococcus pneumoniae GA04672	1069627				Susceptible		Susceptible
1069628.3	Streptococcus pneumoniae GA08825	1069628				Intermediate		Resistant
1079901.3	Salmonella enterica subsp. enterica serovar Hindmarsh strain CVM N30673	1079901	Susceptible				Resistant	Resistant
108619.100	Salmonella enterica subsp. enterica serovar Newport strain R9_3261_R1	108619	Susceptible				Resistant	Resistant
108619.101	Salmonella enterica subsp. enterica serovar Newport strain R9_3265_R1	108619	Susceptible				Resistant	Resistant
108619.140	Salmonella enterica subsp. enterica serovar Newport strain 29	108619	Susceptible				Susceptible	Susceptible
108619.141	Salmonella enterica subsp. enterica serovar Newport strain 168	108619	Susceptible				Susceptible	Susceptible
108619.142	Salmonella enterica subsp. enterica serovar Newport strain 62	108619	Susceptible				Susceptible	Susceptible
108619.143	Salmonella enterica subsp. enterica serovar Newport strain 46	108619	Susceptible				Susceptible	Susceptible
108619.144	Salmonella enterica subsp. enterica serovar Newport strain 48	108619	Susceptible				Susceptible	Susceptible
108619.145	Salmonella enterica subsp. enterica serovar Newport strain 77	108619	Susceptible				Susceptible	Susceptible
108619.146	Salmonella enterica subsp. enterica serovar Newport strain 79	108619	Susceptible				Susceptible	Susceptible
108619.147	Salmonella enterica subsp. enterica serovar Newport strain 82	108619	Susceptible				Susceptible	Susceptible
108619.148	Salmonella enterica subsp. enterica serovar Newport strain 84	108619	Susceptible				Susceptible	Susceptible
108619.149	Salmonella enterica subsp. enterica serovar Newport strain 85	108619	Susceptible				Susceptible	Susceptible
108619.150	Salmonella enterica subsp. enterica serovar Newport strain 86	108619	Susceptible				Susceptible	Susceptible
108619.151	Salmonella enterica subsp. enterica serovar Newport strain 88	108619	Susceptible				Susceptible	Susceptible
108619.152	Salmonella enterica subsp. enterica serovar Newport strain 92	108619	Susceptible				Susceptible	Susceptible
108619.153	Salmonella enterica subsp. enterica serovar Newport strain 94	108619	Susceptible				Susceptible	Susceptible
108619.154	Salmonella enterica subsp. enterica serovar Newport strain 98	108619	Susceptible				Susceptible	Susceptible
108619.155	Salmonella enterica subsp. enterica serovar Newport strain 109	108619	Susceptible				Susceptible	Susceptible
108619.156	Salmonella enterica subsp. enterica serovar Newport strain 113	108619	Susceptible				Susceptible	Susceptible
108619.157	Salmonella enterica subsp. enterica serovar Newport strain 118	108619	Susceptible				Susceptible	Susceptible
108619.158	Salmonella enterica subsp. enterica serovar Newport strain 130	108619	Susceptible				Susceptible	Susceptible
108619.159	Salmonella enterica subsp. enterica serovar Newport strain 149	108619	Susceptible				Susceptible	Susceptible
108619.160	Salmonella enterica subsp. enterica serovar Newport strain 165	108619	Susceptible				Resistant	Resistant
108619.161	Salmonella enterica subsp. enterica serovar Newport strain 170	108619	Susceptible				Susceptible	Susceptible
108619.162	Salmonella enterica subsp. enterica serovar Newport strain 153	108619	Susceptible				Susceptible	Susceptible
108619.163	Salmonella enterica subsp. enterica serovar Newport strain 154	108619	Susceptible				Susceptible	Susceptible
108619.164	Salmonella enterica subsp. enterica serovar Newport strain 3	108619	Susceptible				Susceptible	Susceptible
108619.165	Salmonella enterica subsp. enterica serovar Newport strain 5	108619	Susceptible				Susceptible	Susceptible
108619.166	Salmonella enterica subsp. enterica serovar Newport strain 6	108619	Susceptible				Susceptible	Susceptible
108619.167	Salmonella enterica subsp. enterica serovar Newport strain 8	108619	Susceptible				Susceptible	Susceptible
108619.168	Salmonella enterica subsp. enterica serovar Newport strain 10	108619	Susceptible				Susceptible	Susceptible
108619.169	Salmonella enterica subsp. enterica serovar Newport strain 9	108619	Susceptible				Susceptible	Susceptible
108619.17	Salmonella enterica subsp. enterica serovar Newport strain CVM N46850	108619	Susceptible				Susceptible	Susceptible
108619.170	Salmonella enterica subsp. enterica serovar Newport strain 14	108619	Susceptible				Susceptible	Susceptible
108619.171	Salmonella enterica subsp. enterica serovar Newport strain 19	108619	Susceptible				Susceptible	Susceptible
108619.172	Salmonella enterica subsp. enterica serovar Newport strain 21	108619	Susceptible				Resistant	Resistant
108619.173	Salmonella enterica subsp. enterica serovar Newport strain 192	108619	Susceptible				Susceptible	Susceptible
108619.174	Salmonella enterica subsp. enterica serovar Newport strain 201	108619	Susceptible				Susceptible	Susceptible
108619.175	Salmonella enterica subsp. enterica serovar Newport strain 195	108619	Susceptible				Susceptible	Susceptible
108619.176	Salmonella enterica subsp. enterica serovar Newport strain 198	108619	Susceptible				Susceptible	Susceptible
108619.177	Salmonella enterica subsp. enterica serovar Newport strain 200	108619	Susceptible				Susceptible	Susceptible
108619.178	Salmonella enterica subsp. enterica serovar Newport strain 206	108619	Susceptible				Susceptible	Susceptible
108619.179	Salmonella enterica subsp. enterica serovar Newport strain 209	108619	Susceptible				Susceptible	Susceptible
108619.18	Salmonella enterica subsp. enterica serovar Newport strain CVM N50439	108619	Susceptible				Susceptible	Susceptible
108619.180	Salmonella enterica subsp. enterica serovar Newport strain 220	108619	Susceptible				Susceptible	Susceptible
108619.181	Salmonella enterica subsp. enterica serovar Newport strain 219	108619	Susceptible				Susceptible	Susceptible
108619.182	Salmonella enterica subsp. enterica serovar Newport strain 226	108619	Susceptible				Susceptible	Susceptible
108619.183	Salmonella enterica subsp. enterica serovar Newport strain 223	108619	Susceptible				Susceptible	Susceptible
108619.184	Salmonella enterica subsp. enterica serovar Newport strain 229	108619	Susceptible				Susceptible	Susceptible
108619.185	Salmonella enterica subsp. enterica serovar Newport strain 252	108619	Susceptible				Susceptible	Susceptible
108619.186	Salmonella enterica subsp. enterica serovar Newport strain 212	108619	Susceptible				Susceptible	Susceptible
108619.19	Salmonella enterica subsp. enterica serovar Newport strain CVM N38893	108619	Susceptible				Resistant	Resistant
108619.20	Salmonella enterica subsp. enterica serovar Newport strain CVM N42477	108619	Susceptible				Susceptible	Susceptible
108619.38	Salmonella enterica subsp. enterica serovar Newport strain R8_2690_R1	108619	Susceptible				Resistant	Resistant
108619.39	Salmonella enterica subsp. enterica serovar Newport strain R8_2873_R1	108619	Susceptible				Resistant	Resistant
108619.40	Salmonella enterica subsp. enterica serovar Newport strain R8_4007_R1	108619	Susceptible				Resistant	Resistant
108619.41	Salmonella enterica subsp. enterica serovar Newport strain R8_5045_R1	108619	Susceptible				Resistant	Resistant
108619.42	Salmonella enterica subsp. enterica serovar Newport strain R8_8188_R1	108619	Susceptible				Resistant	Resistant
108619.43	Salmonella enterica subsp. enterica serovar Newport strain R9_3240_R1	108619	Susceptible				Resistant	Resistant
108619.44	Salmonella enterica subsp. enterica serovar Newport strain R8_0830_R1	108619	Susceptible				Resistant	Resistant
108619.45	Salmonella enterica subsp. enterica serovar Newport strain R8_4108_R1	108619	Susceptible				Resistant	Resistant
108619.46	Salmonella enterica subsp. enterica serovar Newport strain R8_4821_R1	108619	Susceptible				Resistant	Resistant
108619.47	Salmonella enterica subsp. enterica serovar Newport strain R8_4157_R1	108619	Susceptible				Resistant	Resistant
108619.48	Salmonella enterica subsp. enterica serovar Newport strain R8_5931_R1	108619	Susceptible				Resistant	Resistant
108619.49	Salmonella enterica subsp. enterica serovar Newport strain R8_8631_R1	108619	Susceptible				Resistant	Resistant
108619.50	Salmonella enterica subsp. enterica serovar Newport strain R9_3241_R1	108619	Susceptible				Resistant	Resistant
